baggageId,customerId,rushbag,special,weight,email,name,phone,target
d5bb42c7-12db-4875-8c27-f0da0a3d0257,a14463fa-9a7c-4e79-b37b-6d48b43bcec7,N,N,6.7,onni.koskinen@qoco.aero,Onni Koskinen,+722 9719009,PVG
c26cb293-a897-4887-9ed5-2d3e9cc44c60,37cb5035-6e81-4a90-aa28-6f56a8d5f85b,N,L,13.0,elias.hämäläinen@qoco.aero,Elias Hämäläinen,+291 1565751,LHR
93285f3b-faea-4908-945d-5417bcd49c73,44cf8126-5b10-4ef5-8775-d346dd268df5,N,LC,8.8,maria.virtanen@qoco.aero,Maria Virtanen,+912 6977805,HND
17158d9f-ccd7-4dac-b81c-03e0a42e31c3,4888ed61-da7a-4fb5-92e6-9c71d8cf63ba,N,H,25.2,amanda.järvinen@qoco.aero,Amanda Järvinen,+741 7528261,ATL
8f4ab51a-fbbf-4e0f-8802-f64f7a3e601c,42f8dde7-73c7-440a-8761-89351f93f801,N,H,43.8,helmi.hämäläinen@qoco.aero,Helmi Hämäläinen,+602 5076164,PVG
fd65bd9a-5bae-4740-943d-cac10b89febe,3cbe7e66-77cc-4fcf-86dc-5ff5f1e2ad96,N,N,20.2,olavi.järvinen@qoco.aero,Olavi Järvinen,+886 1850968,ORD
5731ff16-6e76-4947-abce-f1fbbb68f936,4203f4a9-1fe9-4a70-858f-a054f809690f,Y,LTW,8.4,matilda.koskinen@qoco.aero,Matilda Koskinen,+644 9097750,HND
07ccb967-6802-45a2-8148-f4b38170363e,eac7a4d0-0553-4ffa-b0e2-aa62d58c53e9,N,N,10.5,johannes.hämäläinen@qoco.aero,Johannes Hämäläinen,+843 6863743,ORD
87c30225-c890-4e32-a434-b33d9c3ce6af,6ffe7f32-c459-4d5e-8890-f90840cba8d9,N,LC,5.2,emilia.korhonen@qoco.aero,Emilia Korhonen,+810 1360089,ATL
36cdc861-5370-472e-9e7c-1f605b5a6996,f7c6c6fb-4045-4d03-a5c9-7db6941a287e,N,W,6.5,ilmari.virtanen@qoco.aero,Ilmari Virtanen,+963 5360774,PEK
483aecd2-81eb-4a24-b4f8-3dafa619be4e,b2a09846-340e-4d7f-849b-0d640bd5a6a0,N,L,14.3,mikael.laine@qoco.aero,Mikael Laine,+651 2069021,ORD
