airport,baggageId,eventId,timestamp,type,customerId,rushbag,special,weight,email,name,phone,target
HND,f04af1b4-ba3e-43cb-bad9-d1006988f7e8,de6a9914-c397-4daf-a0bf-e02f4fe1cb45,2019-11-15T09:08:30.412Z,CHECKED_IN,b93a3e26-c70e-45e1-acfa-538fe9d546c2,N,CH,44.4,juhani.hämäläinen@qoco.aero,Juhani Hämäläinen,+284 6027122,LAX
HND,f04af1b4-ba3e-43cb-bad9-d1006988f7e8,0e7eb8ac-6bdf-4d14-b381-d4ceb99456b0,2019-11-15T10:07:59.587Z,LOADED,b93a3e26-c70e-45e1-acfa-538fe9d546c2,N,CH,44.4,juhani.hämäläinen@qoco.aero,Juhani Hämäläinen,+284 6027122,LAX
LAX,f04af1b4-ba3e-43cb-bad9-d1006988f7e8,d182600f-bfbd-4803-9586-5a08d74a73e3,2019-11-15T20:48:51.643Z,UNLOADED,b93a3e26-c70e-45e1-acfa-538fe9d546c2,N,CH,44.4,juhani.hämäläinen@qoco.aero,Juhani Hämäläinen,+284 6027122,LAX
LAX,f04af1b4-ba3e-43cb-bad9-d1006988f7e8,1c6b140c-54eb-41b6-8282-9131e3c95e58,2019-11-15T21:32:52.379Z,CLAIMED,b93a3e26-c70e-45e1-acfa-538fe9d546c2,N,CH,44.4,juhani.hämäläinen@qoco.aero,Juhani Hämäläinen,+284 6027122,LAX
PEK,a61905ba-b22b-48aa-9a73-1dd2ef0df980,d1f98eea-45b8-447c-9f0a-8baca0476ec7,2019-11-15T07:30:04.571Z,CHECKED_IN,fb94800f-172f-48f3-b734-55fcdf451e3f,N,N,12.1,juhani.virtanen@qoco.aero,Juhani Virtanen,+864 5626078,HND
PEK,a61905ba-b22b-48aa-9a73-1dd2ef0df980,26c9eaa3-42ef-48c0-ba09-eb3be56c860a,2019-11-15T08:27:56.737Z,LOADED,fb94800f-172f-48f3-b734-55fcdf451e3f,N,N,12.1,juhani.virtanen@qoco.aero,Juhani Virtanen,+864 5626078,HND
HND,a61905ba-b22b-48aa-9a73-1dd2ef0df980,8b09878e-c45c-43ac-9199-a4fa087f678d,2019-11-15T14:06:08.546Z,UNLOADED,fb94800f-172f-48f3-b734-55fcdf451e3f,N,N,12.1,juhani.virtanen@qoco.aero,Juhani Virtanen,+864 5626078,HND
HND,a61905ba-b22b-48aa-9a73-1dd2ef0df980,c92e8806-579b-4382-bd4c-9b3461f051f5,2019-11-15T14:38:24.083Z,CLAIMED,fb94800f-172f-48f3-b734-55fcdf451e3f,N,N,12.1,juhani.virtanen@qoco.aero,Juhani Virtanen,+864 5626078,HND
HEL,5b1c521f-e004-416a-bf4f-2d4ff704e30d,ded70daf-d38d-40cf-a80a-34ffa89dc6ed,2019-11-15T07:20:42.978Z,CHECKED_IN,58cc6402-95ac-4a08-bd98-71fe45a2ca46,N,N,5.0,ilmari.mäkelä@qoco.aero,Ilmari Mäkelä,+561 7496442,LHR
HEL,5b1c521f-e004-416a-bf4f-2d4ff704e30d,501941a8-d7f5-481b-a020-556e7b897160,2019-11-15T07:59:28.964Z,LOADED,58cc6402-95ac-4a08-bd98-71fe45a2ca46,N,N,5.0,ilmari.mäkelä@qoco.aero,Ilmari Mäkelä,+561 7496442,LHR
ATL,5b1c521f-e004-416a-bf4f-2d4ff704e30d,35dcaf0f-a572-429b-8bd0-28c5b083d92d,2019-11-15T10:56:25.493Z,UNLOADED,58cc6402-95ac-4a08-bd98-71fe45a2ca46,N,N,5.0,ilmari.mäkelä@qoco.aero,Ilmari Mäkelä,+561 7496442,LHR
LHR,5b1c521f-e004-416a-bf4f-2d4ff704e30d,3487a69c-822d-42a0-8e71-7389ba820ec4,2019-11-15T11:15:57.718Z,MISSING,58cc6402-95ac-4a08-bd98-71fe45a2ca46,N,N,5.0,ilmari.mäkelä@qoco.aero,Ilmari Mäkelä,+561 7496442,LHR
PVG,f151cd0a-f56e-4fec-843e-4c577d45c48f,b398bb66-7b11-44a4-9b4c-a6d973081256,2019-11-15T07:34:42.895Z,CHECKED_IN,68aba14b-ead7-4c42-989e-cba5f4ee5d44,Y,A,19.1,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
PVG,f151cd0a-f56e-4fec-843e-4c577d45c48f,deaffefd-ba8f-45b8-9648-2a1cd5fb5fb3,2019-11-15T08:14:19.249Z,LOADED,68aba14b-ead7-4c42-989e-cba5f4ee5d44,Y,A,19.1,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
ORD,f151cd0a-f56e-4fec-843e-4c577d45c48f,40f1ddff-f2fd-4e28-8400-8c0c39ba0f41,2019-11-15T23:52:07.304Z,UNLOADED,68aba14b-ead7-4c42-989e-cba5f4ee5d44,Y,A,19.1,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
ORD,f151cd0a-f56e-4fec-843e-4c577d45c48f,95249d33-02ba-48fa-873c-76f2643ee7cb,2019-11-16T01:03:21.548Z,LOADED,68aba14b-ead7-4c42-989e-cba5f4ee5d44,Y,A,19.1,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
PEK,f151cd0a-f56e-4fec-843e-4c577d45c48f,42ba5d30-bf0d-4531-87e8-a8df0e716b0e,2019-11-16T15:50:56.705Z,UNLOADED,68aba14b-ead7-4c42-989e-cba5f4ee5d44,Y,A,19.1,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
PEK,f151cd0a-f56e-4fec-843e-4c577d45c48f,a45d4998-06cf-470f-81e5-92e4ca4c021e,2019-11-16T16:13:46.903Z,CLAIMED,68aba14b-ead7-4c42-989e-cba5f4ee5d44,Y,A,19.1,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
PVG,0c300901-bdb4-4965-8514-31b66e7c86ac,8634d712-a2c2-4755-a464-7868ee0fa17d,2019-11-15T06:21:56.854Z,CHECKED_IN,b2454709-913e-4a35-9cc1-397010209bc0,Y,LCT,9.6,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
PVG,0c300901-bdb4-4965-8514-31b66e7c86ac,e712703a-9fdd-4e42-ba45-beed068cca12,2019-11-15T06:52:30.220Z,LOADED,b2454709-913e-4a35-9cc1-397010209bc0,Y,LCT,9.6,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
LHR,0c300901-bdb4-4965-8514-31b66e7c86ac,b18ddef5-80a6-419c-a04a-72a8da482a50,2019-11-15T19:31:43.093Z,UNLOADED,b2454709-913e-4a35-9cc1-397010209bc0,Y,LCT,9.6,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
LHR,0c300901-bdb4-4965-8514-31b66e7c86ac,ce510e92-011f-4cb5-baf9-0959f20b561c,2019-11-15T19:46:47.179Z,LOADED,b2454709-913e-4a35-9cc1-397010209bc0,Y,LCT,9.6,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
DXB,0c300901-bdb4-4965-8514-31b66e7c86ac,c1f17e8d-9262-432d-aca4-fc6f5f3301eb,2019-11-15T21:35:01.614Z,UNLOADED,b2454709-913e-4a35-9cc1-397010209bc0,Y,LCT,9.6,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
ORD,0c300901-bdb4-4965-8514-31b66e7c86ac,3033f794-1dce-4ffe-b33a-1debe0837835,2019-11-15T22:31:58.298Z,MISSING,b2454709-913e-4a35-9cc1-397010209bc0,Y,LCT,9.6,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
ORD,0c0387a4-a606-47b9-841a-4aeb1cd83688,7d0b73da-8f79-456f-8996-345144a713e4,2019-11-15T06:04:34.738Z,CHECKED_IN,a2b12490-e469-4590-973d-5fb3b2a49c38,Y,N,6.5,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
ORD,0c0387a4-a606-47b9-841a-4aeb1cd83688,05162f88-fc97-43ac-8a7b-5ac743ec5c21,2019-11-15T06:21:13.416Z,LOADED,a2b12490-e469-4590-973d-5fb3b2a49c38,Y,N,6.5,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
ATL,0c0387a4-a606-47b9-841a-4aeb1cd83688,c664199a-9925-4951-809a-aa36d9bfd6ad,2019-11-15T10:01:26.011Z,UNLOADED,a2b12490-e469-4590-973d-5fb3b2a49c38,Y,N,6.5,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
ATL,0c0387a4-a606-47b9-841a-4aeb1cd83688,878201a3-3f86-40e3-9d24-0c92310949e1,2019-11-15T10:30:05.554Z,CLAIMED,a2b12490-e469-4590-973d-5fb3b2a49c38,Y,N,6.5,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
LAX,bf491d4b-fdd5-447e-91bb-7c6e8167147e,4b7e6dee-c998-47ac-bdfe-d62e95dfc68c,2019-11-15T03:03:08.382Z,CHECKED_IN,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
LAX,bf491d4b-fdd5-447e-91bb-7c6e8167147e,f50c68ab-749c-42cb-a7c6-cf5ae1acf70a,2019-11-15T03:10:17.957Z,LOADED,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
CDG,bf491d4b-fdd5-447e-91bb-7c6e8167147e,851addaa-fbba-42a8-b177-86646bd3aaab,2019-11-15T15:41:47.138Z,UNLOADED,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
CDG,bf491d4b-fdd5-447e-91bb-7c6e8167147e,3d0eb28c-925d-4c14-b1f5-34758fe51b43,2019-11-15T16:21:22.952Z,LOADED,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
DXB,bf491d4b-fdd5-447e-91bb-7c6e8167147e,5102ac5a-f4b4-4859-a951-44d20c44006c,2019-11-15T23:22:33.628Z,UNLOADED,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
DXB,bf491d4b-fdd5-447e-91bb-7c6e8167147e,43e531fc-88fe-48e4-a8f4-f7e927b43823,2019-11-15T23:59:30.168Z,DAMAGED,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
DXB,bf491d4b-fdd5-447e-91bb-7c6e8167147e,5f80ed5c-df28-4ff4-a2ad-35bafeabb18d,2019-11-16T00:41:31.294Z,LOADED,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
ATL,bf491d4b-fdd5-447e-91bb-7c6e8167147e,6e1819f7-6976-4647-be88-92962be2ba30,2019-11-16T01:21:51.601Z,MISSING,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
CDG,bf491d4b-fdd5-447e-91bb-7c6e8167147e,4b8fddb5-8859-462b-99a3-1fe4568f7961,2019-11-16T07:41:19.774Z,UNLOADED,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
ATL,7453e7be-7471-4d9a-9e20-f91ffdbbd19c,afe22684-86c1-462e-a674-b8d279ee4e7a,2019-11-15T08:13:32.162Z,CHECKED_IN,a3482c73-ac30-4cdb-aaa1-f5a94e77c62c,N,H,24.3,oliver.heikkinen@qoco.aero,Oliver Heikkinen,+750 1528125,ORD
ATL,7453e7be-7471-4d9a-9e20-f91ffdbbd19c,961f95eb-5f10-4fe5-a554-e664d5e01068,2019-11-15T08:32:36.729Z,LOADED,a3482c73-ac30-4cdb-aaa1-f5a94e77c62c,N,H,24.3,oliver.heikkinen@qoco.aero,Oliver Heikkinen,+750 1528125,ORD
ORD,7453e7be-7471-4d9a-9e20-f91ffdbbd19c,1a9db0c7-7b27-44f0-b633-b9558fe7e364,2019-11-15T12:12:32.766Z,UNLOADED,a3482c73-ac30-4cdb-aaa1-f5a94e77c62c,N,H,24.3,oliver.heikkinen@qoco.aero,Oliver Heikkinen,+750 1528125,ORD
ORD,7453e7be-7471-4d9a-9e20-f91ffdbbd19c,ed70e7eb-654b-4792-ac90-47da501beb71,2019-11-15T12:45:58.710Z,CLAIMED,a3482c73-ac30-4cdb-aaa1-f5a94e77c62c,N,H,24.3,oliver.heikkinen@qoco.aero,Oliver Heikkinen,+750 1528125,ORD
ATL,e7d2cb0e-5df7-428d-8d18-4cc298cfb423,1af5b6d8-2f07-40e4-b0f7-428a97ba65d9,2019-11-15T00:59:07.251Z,CHECKED_IN,6f87d140-bf0e-4776-a829-60c0fec8c8fd,N,LW,20.0,matilda.järvinen@qoco.aero,Matilda Järvinen,+161 2470487,ORD
ATL,e7d2cb0e-5df7-428d-8d18-4cc298cfb423,419ce34a-9a88-45ec-a667-f152bd90ec85,2019-11-15T01:23:56.950Z,LOADED,6f87d140-bf0e-4776-a829-60c0fec8c8fd,N,LW,20.0,matilda.järvinen@qoco.aero,Matilda Järvinen,+161 2470487,ORD
ORD,e7d2cb0e-5df7-428d-8d18-4cc298cfb423,8ce30f21-1596-48e0-9e5c-e3280bb5ac9c,2019-11-15T05:09:22.768Z,UNLOADED,6f87d140-bf0e-4776-a829-60c0fec8c8fd,N,LW,20.0,matilda.järvinen@qoco.aero,Matilda Järvinen,+161 2470487,ORD
ORD,e7d2cb0e-5df7-428d-8d18-4cc298cfb423,bc1cf66b-20ee-45bd-8894-47cdff4c04f0,2019-11-15T05:31:13.265Z,CLAIMED,6f87d140-bf0e-4776-a829-60c0fec8c8fd,N,LW,20.0,matilda.järvinen@qoco.aero,Matilda Järvinen,+161 2470487,ORD
ORD,5af7a198-d7d0-4025-8387-a4825828b85a,235a0c93-166e-477e-b621-323cd56906e4,2019-11-15T06:05:15.060Z,CHECKED_IN,a2b12490-e469-4590-973d-5fb3b2a49c38,N,W,15.3,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
ORD,5af7a198-d7d0-4025-8387-a4825828b85a,b0cab476-0663-4509-9e0f-57250024c72d,2019-11-15T06:19:10.569Z,LOADED,a2b12490-e469-4590-973d-5fb3b2a49c38,N,W,15.3,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
ATL,5af7a198-d7d0-4025-8387-a4825828b85a,ce40709b-2f3c-4575-bae8-b4f175551b2c,2019-11-15T10:03:08.193Z,UNLOADED,a2b12490-e469-4590-973d-5fb3b2a49c38,N,W,15.3,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
ATL,5af7a198-d7d0-4025-8387-a4825828b85a,5cd02b59-8a78-4407-9ab4-c9eb6c1d2243,2019-11-15T10:33:43.598Z,CLAIMED,a2b12490-e469-4590-973d-5fb3b2a49c38,N,W,15.3,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
PVG,8a17feb4-4c56-47c5-86f7-621157067688,a7d9f160-a9c0-4e84-b9c6-2fc2a33b9ecd,2019-11-15T09:28:54.565Z,CHECKED_IN,15cb8568-e3a6-47aa-97a8-571533e981f3,N,L,13.2,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
PVG,8a17feb4-4c56-47c5-86f7-621157067688,8f0851a5-6bcb-4329-bd03-5ffcf9a3034d,2019-11-15T09:35:52.817Z,LOADED,15cb8568-e3a6-47aa-97a8-571533e981f3,N,L,13.2,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
LAX,8a17feb4-4c56-47c5-86f7-621157067688,2455bd57-7bef-45d7-ad57-900b4a82d427,2019-11-16T00:46:57.677Z,UNLOADED,15cb8568-e3a6-47aa-97a8-571533e981f3,N,L,13.2,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
LAX,8a17feb4-4c56-47c5-86f7-621157067688,9b6e8d6f-9ac2-43b5-b1dc-d0810c9a1267,2019-11-16T01:12:31.601Z,DAMAGED,15cb8568-e3a6-47aa-97a8-571533e981f3,N,L,13.2,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
LAX,8a17feb4-4c56-47c5-86f7-621157067688,f4092a35-c98b-4361-9db7-8717d9c1854b,2019-11-16T01:45:26.610Z,LOADED,15cb8568-e3a6-47aa-97a8-571533e981f3,N,L,13.2,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
CDG,8a17feb4-4c56-47c5-86f7-621157067688,ebffe44d-f6f8-4a74-9517-21efa4a76dce,2019-11-16T14:41:22.694Z,UNLOADED,15cb8568-e3a6-47aa-97a8-571533e981f3,N,L,13.2,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
PEK,8a17feb4-4c56-47c5-86f7-621157067688,62c76f60-3bf9-434a-8c38-ca7dcf3e08de,2019-11-16T14:58:26.016Z,MISSING,15cb8568-e3a6-47aa-97a8-571533e981f3,N,L,13.2,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
ORD,01d5e96a-684c-48bd-afd9-9df0ebcb6c62,fecb4208-f6a1-4768-910d-397e038a0c23,2019-11-15T10:52:59.520Z,CHECKED_IN,57626176-dcb8-461b-9064-afb9f5e90f97,N,H,40.1,elias.heikkinen@qoco.aero,Elias Heikkinen,+367 4154398,PVG
ORD,01d5e96a-684c-48bd-afd9-9df0ebcb6c62,37f849ea-ae55-49a7-8867-6838e51c5452,2019-11-15T11:23:32.748Z,LOADED,57626176-dcb8-461b-9064-afb9f5e90f97,N,H,40.1,elias.heikkinen@qoco.aero,Elias Heikkinen,+367 4154398,PVG
